precision,recall,f1,hub_recovery,kendall_tau,N,T,T_N,trial,preprocess,method
0.0915032679738562,0.112,0.10071942446043165,0.0,-0.059906177860673634,50,50,1.0,0,Raw,OLS
0.2,0.016,0.02962962962962963,0.0,-0.08371792386677382,50,50,1.0,0,Raw,LASSO
0.1048951048951049,0.12,0.11194029850746269,0.0,-0.019608078722084237,50,50,1.0,0,Oracle,OLS
0.16666666666666666,0.008,0.015267175572519083,0.2,0.10957486885550291,50,50,1.0,0,Oracle,LASSO
0.07246376811594203,0.08,0.07604562737642585,0.0,0.13469302101827982,50,50,1.0,0,Estimated(PCA),OLS
0.0,0.0,0.0,0.2,0.07201364787953231,50,50,1.0,0,Estimated(PCA),LASSO
0.12121212121212122,0.16,0.13793103448275862,0.0,0.10973770233516071,50,50,1.0,1,Raw,OLS
0.5,0.04,0.07407407407407407,0.0,-0.011992702824761963,50,50,1.0,1,Raw,LASSO
0.13138686131386862,0.144,0.13740458015267176,0.4,-0.04282116684535718,50,50,1.0,1,Oracle,OLS
0.45454545454545453,0.04,0.07352941176470588,0.0,-0.08849832014582526,50,50,1.0,1,Oracle,LASSO
0.125,0.128,0.12648221343873517,0.4,-0.104176102280934,50,50,1.0,1,Estimated(PCA),OLS
0.25,0.016,0.03007518796992481,0.0,-0.12768430190164964,50,50,1.0,1,Estimated(PCA),LASSO
0.09895833333333333,0.152,0.11987381703470032,0.0,0.11061415526064436,50,50,1.0,2,Raw,OLS
0.18181818181818182,0.016,0.029411764705882353,0.0,0.04876649779842745,50,50,1.0,2,Raw,LASSO
0.11194029850746269,0.12,0.11583011583011583,0.2,0.186846086263875,50,50,1.0,2,Oracle,OLS
0.375,0.024,0.045112781954887216,0.0,0.07289557724708842,50,50,1.0,2,Oracle,LASSO
0.08196721311475409,0.08,0.08097165991902834,0.2,0.12695344596843738,50,50,1.0,2,Estimated(PCA),OLS
0.5,0.032,0.06015037593984962,0.2,0.021788813722505462,50,50,1.0,2,Estimated(PCA),LASSO
0.09016393442622951,0.176,0.11924119241192412,0.4,-0.044590344581343935,50,50,1.0,3,Raw,OLS
0.23076923076923078,0.024,0.043478260869565216,0.0,0.008974236053931158,50,50,1.0,3,Raw,LASSO
0.1346153846153846,0.168,0.1494661921708185,0.4,-0.008825226081218282,50,50,1.0,3,Oracle,OLS
0.1111111111111111,0.008,0.014925373134328358,0.0,-0.21876590433685397,50,50,1.0,3,Oracle,LASSO
0.1079136690647482,0.12,0.11363636363636363,0.2,-0.05889149422867065,50,50,1.0,3,Estimated(PCA),OLS
0.0,0.0,0.0,0.0,-0.112962014264383,50,50,1.0,3,Estimated(PCA),LASSO
0.1044776119402985,0.168,0.12883435582822086,0.2,0.17130493465913343,50,50,1.0,4,Raw,OLS
0.16666666666666666,0.016,0.029197080291970802,0.0,0.18153603848081273,50,50,1.0,4,Raw,LASSO
0.11428571428571428,0.128,0.12075471698113208,0.0,-0.06164678675127403,50,50,1.0,4,Oracle,OLS
0.3333333333333333,0.024,0.04477611940298507,0.4,0.11127701657857998,50,50,1.0,4,Oracle,LASSO
0.08029197080291971,0.088,0.08396946564885496,0.4,-0.03767266734452509,50,50,1.0,4,Estimated(PCA),OLS
0.16666666666666666,0.008,0.015267175572519083,0.2,0.14316587108215315,50,50,1.0,4,Estimated(PCA),LASSO
0.08695652173913043,0.096,0.09125475285171103,0.2,0.273692269198469,50,50,1.0,5,Raw,OLS
0.2,0.024,0.04285714285714286,0.0,0.03945966966849386,50,50,1.0,5,Raw,LASSO
0.1092436974789916,0.104,0.10655737704918032,0.0,0.12927327236272942,50,50,1.0,5,Oracle,OLS
0.16666666666666666,0.016,0.029197080291970802,0.0,0.3610916029887539,50,50,1.0,5,Oracle,LASSO
0.06569343065693431,0.072,0.06870229007633588,0.2,0.17320508075688776,50,50,1.0,5,Estimated(PCA),OLS
0.18181818181818182,0.016,0.029411764705882353,0.0,0.14920429324031267,50,50,1.0,5,Estimated(PCA),LASSO
0.11627906976744186,0.16,0.13468013468013468,0.4,0.15433063301855005,50,50,1.0,6,Raw,OLS
0.0,0.0,0.0,0.0,-0.06631125254318936,50,50,1.0,6,Raw,LASSO
0.10144927536231885,0.112,0.10646387832699619,0.0,0.042122459508686386,50,50,1.0,6,Oracle,OLS
0.0,0.0,0.0,0.0,-0.09205763837431082,50,50,1.0,6,Oracle,LASSO
0.0891089108910891,0.072,0.07964601769911504,0.0,-0.16846610391440345,50,50,1.0,6,Estimated(PCA),OLS
0.0,0.0,0.0,0.0,0.10420339685358328,50,50,1.0,6,Estimated(PCA),LASSO
0.05263157894736842,0.08,0.06349206349206349,0.4,0.04966968071408674,50,50,1.0,7,Raw,OLS
0.058823529411764705,0.008,0.014084507042253521,0.2,-0.019463940677119807,50,50,1.0,7,Raw,LASSO
0.11409395973154363,0.136,0.12408759124087591,0.0,0.07244399336853752,50,50,1.0,7,Oracle,OLS
0.2,0.016,0.02962962962962963,0.0,-0.02140933855042307,50,50,1.0,7,Oracle,LASSO
0.09701492537313433,0.104,0.10038610038610038,0.2,0.06970209033246974,50,50,1.0,7,Estimated(PCA),OLS
0.14285714285714285,0.016,0.02877697841726619,0.0,-0.2629175158782002,50,50,1.0,7,Estimated(PCA),LASSO
0.14583333333333334,0.28,0.1917808219178082,0.4,0.18798197849203743,50,100,2.0,0,Raw,OLS
0.36363636363636365,0.032,0.058823529411764705,0.0,-0.0423243765728565,50,100,2.0,0,Raw,LASSO
0.19375,0.248,0.21754385964912282,0.6,0.47061654265970343,50,100,2.0,0,Oracle,OLS
