lambda_NIO,lambda_ann_pct,T/N,t_oracle_mean,t_oracle_std,t_ols_mean,t_ols_std,t_lasso_mean,t_lasso_std
0.001,3.1749015732775088,2.0,1.785864300212883,1.2346490510908825,,,-0.23542691266604443,2.0723159968359153
0.001,3.1749015732775088,5.0,0.9926118004438464,0.9875919473065892,,,0.4295280238523281,1.7539236254099522
0.001,3.1749015732775088,10.0,0.11528056172108705,1.051519333933472,,,0.43547184789788446,1.604255234377013
0.003,9.524704719832528,2.0,5.73927154459688,2.189387799753834,,,0.2029232978702031,1.889892014430224
0.003,9.524704719832528,5.0,2.682033646451224,1.439735000965677,,,0.7421177422068184,1.6038820923470978
0.003,9.524704719832528,10.0,0.38586589503064045,1.1010018462519298,,,0.5257960594452699,1.6074770909025675
0.005,15.874507866387544,2.0,9.69267878898088,3.3286708365686777,,,0.44644810765704646,1.6837325651830444
0.005,15.874507866387544,5.0,4.371455492458603,2.1570304770248137,,,0.9755440013578416,1.4663691706941564
0.005,15.874507866387544,10.0,0.6564512283401939,1.183043957157446,,,0.6142347012886566,1.611486928820024
0.01,31.74901573277509,2.0,19.576196899940875,6.324436301873478,,,0.688354427743855,1.3847975903880472
0.01,31.74901573277509,5.0,8.595010107477046,4.19384484241842,,,1.306146743965065,1.2521025726193353
0.01,31.74901573277509,10.0,1.332914561614077,1.4906020274727578,,,0.8229371378931618,1.6224569933096489
0.02,63.49803146555018,2.0,39.34323312186087,12.42637601831002,,,0.808271999276307,1.2017693859220295
0.02,63.49803146555018,5.0,17.042119337513938,8.44128418778656,,,1.539656357858898,1.1128236028827927
0.02,63.49803146555018,10.0,2.685841228161843,2.3201116655675835,,,1.1726049976048396,1.6355399864147417
