lambda_NIO,lambda_ann_pct,N,T,T/N,trial,t_oracle,t_ols,t_lasso
0.001,3.1749015732775088,50,250,5.0,19,-0.23959233475651112,,-0.9634138399767928
0.001,3.1749015732775088,50,250,5.0,20,1.4543407709602498,,0.19044639376951744
0.001,3.1749015732775088,50,250,5.0,21,2.8766914788356703,,-0.01553691557286533
0.001,3.1749015732775088,50,250,5.0,22,1.133526547757753,,3.007575218700739
0.001,3.1749015732775088,50,250,5.0,23,0.46685049538311624,,0.8597934933089726
0.001,3.1749015732775088,50,250,5.0,24,-1.522591455513138,,-2.255445766977453
0.001,3.1749015732775088,50,250,5.0,25,2.833640736439213,,0.2639100064568025
0.001,3.1749015732775088,50,250,5.0,26,0.849224823350902,,-0.817723486908223
0.001,3.1749015732775088,50,250,5.0,27,0.9088272304731936,,0.838942938773373
0.001,3.1749015732775088,50,250,5.0,28,1.0519588077038622,,0.5456583201955407
0.001,3.1749015732775088,50,250,5.0,29,1.5234595009607204,,2.4289991529528816
0.001,3.1749015732775088,50,250,5.0,30,0.9206830610889721,,3.330759842894316
0.001,3.1749015732775088,50,250,5.0,31,-0.48234532860611934,,-0.932563802952639
0.001,3.1749015732775088,50,250,5.0,32,1.4492590058622128,,-0.03693972008465108
0.001,3.1749015732775088,50,250,5.0,33,1.2831648698192868,,0.3318583891150401
0.001,3.1749015732775088,50,250,5.0,34,0.9877515366236113,,-1.9569519239843411
0.001,3.1749015732775088,50,250,5.0,35,1.285811478492928,,-1.7276039094399935
0.001,3.1749015732775088,50,250,5.0,36,0.37048413836597177,,0.5965669837798109
0.001,3.1749015732775088,50,250,5.0,37,0.022193583692272353,,-3.854182003607721
0.001,3.1749015732775088,50,250,5.0,38,-0.14180291984641755,,1.7904644307944426
0.001,3.1749015732775088,50,250,5.0,39,1.5669336207726392,,0.3304184841713802
0.001,3.1749015732775088,50,250,5.0,40,-0.9375790846741612,,-0.7415927379301527
0.001,3.1749015732775088,50,250,5.0,41,-0.923255538426768,,-0.012325281085730921
0.001,3.1749015732775088,50,250,5.0,42,1.167510913417024,,1.6575866116099018
0.001,3.1749015732775088,50,250,5.0,43,1.3331302746142177,,2.1874222542633026
0.001,3.1749015732775088,50,250,5.0,44,-0.3694273791240472,,1.4449761733442923
0.001,3.1749015732775088,50,250,5.0,45,1.8452087479360852,,-0.9736410242055654
0.001,3.1749015732775088,50,250,5.0,46,2.7131049418750366,,1.5331426114938127
0.001,3.1749015732775088,50,250,5.0,47,1.3965734541065757,,-0.43510525366891395
0.001,3.1749015732775088,50,250,5.0,48,0.10921049835003586,,3.502914692770694
0.001,3.1749015732775088,50,250,5.0,49,1.316937958826586,,-1.163116057634525
0.001,3.1749015732775088,50,500,10.0,0,-0.33373381464585866,,1.0733480850289765
0.001,3.1749015732775088,50,500,10.0,1,1.473557520279713,,-1.0192380293483159
0.001,3.1749015732775088,50,500,10.0,2,-0.2948417860093252,,0.4157374271001132
0.001,3.1749015732775088,50,500,10.0,3,-0.048352117534493075,,0.5231829657808806
0.001,3.1749015732775088,50,500,10.0,4,0.5530428749797068,,0.059553029100548494
0.001,3.1749015732775088,50,500,10.0,5,0.3754288518270443,,0.14848594419911773
0.001,3.1749015732775088,50,500,10.0,6,0.27542575425278554,,-0.3870538899287175
